# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
#
# User preference: *
#
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
# COLUMN koi_fwm_prao:   FW &Delta;&alpha;(OOT) [sec]
# COLUMN koi_fwm_pdeco:  FW &Delta;&delta;(OOT) [arcsec]
# COLUMN koi_dicco_mra:  PRF &Delta;&alpha;<sub>SQ</sub>(OOT) [arcsec]
# COLUMN koi_dicco_mdec: PRF &Delta;&delta;<sub>SQ</sub>(OOT) [arcsec]
# COLUMN koi_dicco_msky: PRF &Delta;&theta;<sub>SQ</sub>(OOT) [arcsec]
#
loc_rowid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_srho,koi_prad,koi_incl,koi_teq,koi_insol,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky
11,K00001.01,CONFIRMED,2.470613377,1.74319,14231,1.83538,13.04,84.41,1339,761.46,5820,4.457,-0.06,0.964,0.971,286.80847,49.316399,11.338,-0.00012,0.00078,-0.009,-0.3,0.3
12,K00002.01,CONFIRMED,2.204735417,3.88864,6674.7,0.37936,16.1,87.21,2048,4148.92,6440,4.019,0.14,1.952,1.449,292.24728,47.969521,10.463,-0.001754,,2.22,-3.29,3.97
13,K00010.01,CONFIRMED,3.522498429,3.19843,9145.7,0.65374,14.59,85.2,1521,1264.67,6225,4.169,-0.04,1.451,1.132,281.28812,42.45108,13.563,1E-05,0.00036,0.014,-0.013,0.02
14,K00112.02,CONFIRMED,3.709214104,2.6302,131.1,1.77451,1.16,89.73,1206,500.46,5833,4.407,-0.04,1.022,0.974,295.64871,48.49556,12.772,-4.6E-05,-5E-05,0.24,-0.15,0.29
15,K00742.01,FALSE POSITIVE,11.521446064,3.6399,17984,1.27376,150.51,83.13,753,75.88,5795,4.554,-0.2,0.848,0.938,297.07993,47.597401,15.472,0,0.0001,0.009,-0.009,0.013
16,K00743.01,FALSE POSITIVE,19.40393776,12.2155,8918.7,0.03785,7.18,84.93,523,17.69,5043,4.591,-0.54,0.68,0.657,289.25821,47.635319,15.487,-0.00038,-0.0002,-0.001,0.009,0.009
17,K00744.01,FALSE POSITIVE,19.221388942,4.79843,74284,1.57359,49.29,88.05,698,55.97,6117,4.496,-0.22,0.947,1.025,295.81454,47.69035,15.341,-0.0005,-0.002,0.003,0.005,0.006
18,K00745.01,FALSE POSITIVE,16.46983774,9.4378,10479,0.19353,7.94,88.81,595,29.61,5152,4.517,-0.2,0.786,0.741,297.15442,47.668701,15.788,0.0007,0.0008,-0.04,-0.004,0.04
19,K00746.01,CONFIRMED,9.27358173,3.2875,1288.3,1.93557,2.47,88.93,649,41.85,4856,4.583,-0.3,0.696,0.676,288.13824,47.724449,15.302,0.00034,0.00019,-0.059,-0.008,0.059
20,K00747.01,CONFIRMED,6.02930329,1.5821,1912.7,13.09803,2.85,89.5,678,50.04,4537,4.648,0.21,0.672,0.761,283.71088,47.86327,15.784,-0.00017,-0.0001,0.11,0.01,0.11
21,K00748.01,FALSE POSITIVE,2.696370652,3.6129,397.9,0.51471,1.58,89.56,1066,305.34,4989,4.504,0.1,0.819,0.781,283.76547,47.804298,15.269,0.00047,0.00019,1.08,2.19,2.44
22,K00749.01,CONFIRMED,5.349553819,3.0278,831,1.73782,2.55,89.62,919,168.99,5185,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,0.00055,0.0003,0.04,-0.02,0.04
23,K00749.02,CONFIRMED,3.94105221,2.5984,363.3,1.85636,1.7,88.88,1018,253.15,5185,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,-8E-05,-0.00013,-0.23,0.35,0.42
24,K00749.03,CONFIRMED,8.10904807,3.596,217.4,1.5302,1.3,89.92,800,97.03,5185,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,-0.00072,2E-05,-0.11,-0.14,0.18
25,K00113.01,FALSE POSITIVE,386.6030528,6.8057,24927,4.63335,41.5,89.95,297,1.84,5543,4.081,0.44,1.58,1.103,292.27374,37.671558,12.394,-0.0007,0.0006,0.001,0.037,0.037
26,K00750.01,CONFIRMED,21.67699193,3.4555,857.2,0.60007,2.95,87.91,530,18.64,4954,4.5,0.18,0.828,0.791,290.46512,47.92918,15.377,-0.00064,0,-0.1,-0.04,0.11
27,K00751.01,CONFIRMED,4.99677968,2.1717,934.7,1.71827,2.78,86.9,917,166.95,5339,4.552,0.18,0.847,0.931,297.80826,47.946671,15.861,2E-05,1E-05,-0.14,0.17,0.22
28,K00769.01,CONFIRMED,4.280963604,2.875,750.8,1.24482,2.3,87.72,1012,247.87,5644,4.564,-0.14,0.831,0.928,294.26581,49.314091,15.356,0.00073,6E-05,0.003,-0.065,0.066
29,K00770.01,FALSE POSITIVE,1.50635409,1.5155,2211.7,0.84722,4.53,79.38,1452,1054.12,5714,4.563,-0.2,0.831,0.926,295.66522,49.351009,15.525,-0.00174,-0.0015,0.998,0.821,1.292
30,K00771.01,FALSE POSITIVE,670.645531,53.412,18091,0.02605,14.14,89.53,196,0.35,5520,4.466,0.48,0.983,1.03,296.69861,49.316479,15.207,0.0175,-0.0049,-1.286,0.227,1.306
31,K00772.01,FALSE POSITIVE,61.2563628,7.633,5123.3,0.12411,39.87,87.54,505,15.43,6144,4.402,0,1.091,1.093,283.72592,49.479519,15.25,0.001,-0.0009,0.063,-0.055,0.083
32,K00773.01,CONFIRMED,38.3775486,5.588,724.2,1.40588,2.82,89.44,529,18.53,5481,4.369,0.16,1.036,0.915,291.72202,49.480869,15.172,0.00067,-0.00104,-0.85,1.54,1.76
33,K00757.02,CONFIRMED,41.19725502,4.6297,2213.9,3.9471,3.86,89.96,439,8.76,5031,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,0.00111,0.00012,0.12,0,0.12
34,K00757.03,CONFIRMED,6.252962249,2.5819,1036.9,3.28707,2.65,89.68,823,108.3,5031,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,0.00042,-9E-05,0.03,0.05,0.06
35,K00758.01,CONFIRMED,16.01308419,3.2554,1121.9,1.10942,3.1,88.14,593,29.31,5015,4.499,0.1,0.826,0.785,297.02563,48.478588,15.39,-2E-05,0.00054,-0.06,-0.21,0.22
36,K00759.01,CONFIRMED,32.62876672,4.7971,1804.8,2.79093,3.36,89.98,506,15.55,5586,4.56,-0.3,0.798,0.844,285.71854,48.505859,15.082,0.00079,-0.00016,0.037,0.07,0.08
37,K00759.02,CONFIRMED,91.7732862,6.473,652,1.60558,2.12,89.61,359,3.92,5586,4.56,-0.3,0.798,0.844,285.71854,48.505859,15.082,0.00041,0.00016,-0.36,-0.41,0.55
38,K00760.01,CANDIDATE,4.959319244,2.22739,9802,1.46169,12.21,86.15,1103,349.4,5712,4.359,0.1,1.082,0.976,292.16705,48.727589,15.263,0.00011,-7E-05,-0.018,0.012,0.022
39,K00761.01,FALSE POSITIVE,2.701287801,3.3827,860.4,0.02818,6.54,62.69,1222,527.81,5550,4.468,-0.04,0.91,0.889,297.92365,48.777321,15.54,-0.00608,-0.01249,3.39,5.48,6.45
40,K00762.01,CONFIRMED,4.49876511,3.7362,460,0.67106,2.1,88,1133,389.62,6075,4.486,-0.12,0.969,1.048,298.45685,48.791592,15.395,-0.00024,-0.0001,0.09,-0.12,0.15
41,K00763.01,FALSE POSITIVE,19.651209505,5.2514,11766,0.67559,12.42,88.27,730,67.03,6074,4.391,-0.12,1.063,1.014,291.0939,48.933842,15.536,0.00021,-0.0002,0.006,0,0.006
42,K00115.01,CONFIRMED,5.412203927,2.9472,601.6,0.51087,2.94,85.12,1093,337.68,5779,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,-5.2E-05,-0.000137,-0.03,0.08,0.08
43,K00764.01,CONFIRMED,41.43958662,10.5989,2793.1,0.28189,5.5,89.31,516,16.72,5468,4.367,0.22,1.046,0.93,295.55505,49.017342,15.4,-0.00022,-0.0004,-0.029,-0.072,0.078
44,K00765.01,CONFIRMED,8.35389523,2.2514,1041.6,6.73215,2.52,89.95,790,91.9,5592,4.582,-0.28,0.787,0.862,285.49924,49.277351,15.317,-0.00025,-9E-05,0,0.09,0.09
45,K00766.01,CONFIRMED,4.125543472,3.1744,1487.3,0.67162,4.43,85.95,1243,565.35,6174,4.417,0.1,1.103,1.162,291.93616,49.253979,15.506,-0.00012,-9E-05,-0.034,0.009,0.035
46,K00767.01,CONFIRMED,2.816504904,2.50587,16814,2.09079,12.21,89.37,1219,521.13,5532,4.452,0.14,0.955,0.941,297.01547,49.225288,15.052,-0.00034,0.00069,-0.024,-0.007,0.025
47,K00768.01,FALSE POSITIVE,33.93373447,14.561,8503.7,0.0371,7.34,86.45,430,8.11,5040,4.628,-0.24,0.705,0.782,284.17233,49.360722,15.716,-0.0247,-0.0016,3.254,0.163,3.258
48,K00786.01,CONFIRMED,3.689920099,2.6557,426.7,1.70798,1.89,89.19,1147,408.99,5880,4.518,-0.06,0.917,1.01,291.62241,50.61824,15.242,0.00017,0.00012,-0.27,0.05,0.27
49,K00787.01,CONFIRMED,4.431238488,3.15,1010.9,1.01996,3.25,87.72,1104,351.23,5714,4.428,0.16,1.015,1.007,295.81616,51.121738,15.367,0.0005,-0.0001,-0.097,0.03,0.1
50,K00787.02,CONFIRMED,11.37936986,2.6255,1023.5,0.63438,3.95,86.8,806,99.68,5714,4.428,0.16,1.015,1.007,295.81616,51.121738,15.367,-0.00041,-0.00017,0.09,-0.06,0.11
51,K00788.01,CONFIRMED,26.39432897,3.573,1510.9,2.93923,3.07,89.28,489,13.49,5129,4.595,0.02,0.763,0.846,289.39972,51.25032,15.234,0.00037,3E-05,-0.18,0.2,0.27
52,K00116.01,CONFIRMED,13.57078281,3.3539,511.7,0.49865,2.64,87.07,785,89.61,5854,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,-4.4E-05,0.000108,0.26,0.02,0.26
53,K00115.02,CONFIRMED,7.12594387,3.0014,192.4,0.23879,1.79,84.02,997,233.31,5779,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,-6.9E-05,6.1E-05,0.03,0.04,0.06
54,K00774.01,FALSE POSITIVE,7.442652004,2.3078,24446,7.48712,15.03,89.72,967,206.78,6108,4.469,-0.3,0.956,0.981,288.98682,49.733742,15.27,0.0128,0.0041,-0.068,-0.035,0.076
55,K00775.01,CONFIRMED,16.38489988,3.0249,1127.1,5.4538,2,90,433,8.35,4126,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,0.0006,-3E-05,0.02,-0.02,0.03
56,K00775.02,CONFIRMED,7.8774163,2.0805,1306.1,8.09685,2.16,89.92,553,22.18,4126,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,0.00032,-2E-05,0.06,-0.03,0.07
57,K00775.03,CONFIRMED,36.4454001,4.007,1122.3,5.21237,1.99,89.98,332,2.88,4126,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,-0.00014,0.00084,-0.01,0.17,0.17
58,K00776.01,CONFIRMED,3.728732147,2.683,5226.5,1.24118,6.02,86.7,1023,258.34,5497,4.577,-0.1,0.809,0.907,290.78574,50.054119,15.523,0.00057,-0.00136,-0.072,0.041,0.083
59,K00777.01,CANDIDATE,40.4195037,3.362,6256,1.89549,7.51,89.05,467,11.29,5446,4.507,-0.54,0.781,0.714,294.31686,50.080231,15.487,0.0006,-0.0011,-0.025,0.051,0.057
60,K00778.01,CONFIRMED,2.243380573,1.1196,821.7,1.50915,1.99,82.88,822,107.6,4149,4.698,-0.32,0.564,0.578,285.17621,50.149818,15.135,-0.00024,-0.00057,0.19,0.27,0.33
61,K00779.01,FALSE POSITIVE,10.405998015,6.5036,14489,0.38489,11.23,88.57,833,113.94,5746,4.393,-0.54,0.924,0.77,289.23553,50.241001,15.562,-0.00025,0,-0.011,0.004,0.012
62,K00780.01,CONFIRMED,2.337437946,1.9982,971.2,2.41093,2.34,88.19,1070,311.16,5005,4.595,0.14,0.765,0.85,293.83331,50.23035,15.334,6E-05,0.00045,0.027,0.05,0.061
63,K00780.02,CANDIDATE,7.2406612,0.558,556.4,8.66412,19.45,87.62,734,68.63,5005,4.595,0.14,0.765,0.85,293.83331,50.23035,15.334,0.00016,0.00075,-0.51,-0.49,0.71
64,K00115.03,CANDIDATE,3.43591631,3.133,23.2,0.47024,0.55,84.62,1272,617.61,5779,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,1.2E-05,-3E-06,0.01,-0.05,0.05
65,K00781.01,CONFIRMED,11.59822233,2.5237,2804.5,3.14915,2.65,88.62,396,5.82,3688,4.79,0,0.473,0.503,296.22195,50.28722,15.937,-0.00029,0.0006,0.059,-0.03,0.066
66,K00782.01,CONFIRMED,6.575315881,4.3084,2793.3,0.64392,5.31,88.03,1015,251.38,5992,4.415,-0.32,0.989,0.927,290.09805,50.321609,15.312,0.00044,-7E-05,-0.033,-0.04,0.052
67,K00783.01,CONFIRMED,7.275040844,7.5377,3001,0.10578,4.86,85.29,833,113.64,5485,4.556,0.21,0.867,0.986,295.45529,50.49456,15.08,0.00066,0.00064,-0.054,-0.065,0.085
68,K00784.01,CONFIRMED,19.27153892,2.7594,1219.8,8.48241,1.93,89.97,393,5.66,4077,4.702,-0.24,0.56,0.576,293.97336,50.53191,15.385,-0.00076,0.00145,0.2,-0.17,0.26
69,K00784.02,CONFIRMED,10.06524317,1.369,1053.3,18.09666,1.91,89.22,488,13.43,4077,4.702,-0.24,0.56,0.576,293.97336,50.53191,15.385,0.00053,0.00116,0.11,-0.23,0.25
70,K00785.01,CONFIRMED,12.3935651,3.8896,916.6,0.27483,2.66,86.13,677,49.68,5557,4.603,-0.4,0.75,0.832,296.02133,50.56778,15.505,0.00019,0.00011,-0.17,-0.04,0.17
71,K00116.02,CONFIRMED,43.84439721,6.802,615.2,0.22039,2.87,88.27,531,18.77,5854,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,0.0002,0.00012,0.12,-0.2,0.23
72,K00798.01,FALSE POSITIVE,3.341913228,3.813,725.3,0.01791,21.55,56.44,1032,268.67,5295,4.551,-0.02,0.811,0.853,292.31595,38.27029,15.629,0.00348,-0.00058,-5.106,0.825,5.172
73,K00799.01,FALSE POSITIVE,1.626630225,2.1145,1620.6,0.09631,32.43,58.03,1547,1355.88,5735,4.41,-0.18,0.973,0.889,294.36819,38.31028,15.279,-2E-05,0.0008,0.1,-0.809,0.82
74,K00800.01,CONFIRMED,2.711504086,3.0099,837.5,0.91618,3.12,89.81,1420,960.79,6214,4.442,0.07,1.076,1.169,291.65353,38.494659,15.541,-0.00037,-0.0003,-0.02,0.05,0.05
75,K00800.02,CONFIRMED,7.21203748,4.0491,950.4,0.99867,3.32,89.95,1025,260.58,6214,4.442,0.07,1.076,1.169,291.65353,38.494659,15.541,-0.00011,-0.00083,0.05,0.07,0.09
76,K00789.01,FALSE POSITIVE,14.1798187,2.505,459.9,7.76746,1.88,89.95,711,60.35,5799,4.539,-0.1,0.878,0.975,291.0448,51.321671,15.727,,,,,
77,K00790.01,CONFIRMED,8.47237911,2.7245,1123.5,3.86328,2.59,89.95,751,75.44,5354,4.587,-0.08,0.788,0.884,296.36652,51.319519,15.339,-0.00048,0.00037,-0.148,0.09,0.17
78,K00790.02,CONFIRMED,60.4189369,5.039,931.3,4.26444,2.36,89.94,390,5.49,5354,4.587,-0.08,0.788,0.884,296.36652,51.319519,15.339,0.0007,0.00025,0,0.53,0.53
79,K00791.01,CONFIRMED,12.611904345,5.1497,6105.6,0.61222,7.4,88.17,753,76.15,5795,4.508,-0.02,0.919,0.992,289.11221,51.737381,15.14,0.00117,0.00148,-0.065,-0.058,0.087
80,K00792.01,FALSE POSITIVE,1.433769925,1.8868,1976.3,0.1372,46.58,58.99,1920,3209.29,6017,4.22,0.02,1.339,1.083,290.84369,37.728828,15.122,-0.00021,0.00026,-0.009,-0.105,0.106
81,K00793.01,FALSE POSITIVE,10.31872301,3.836,871.7,0.03681,28.59,78.15,876,139.26,5927,4.409,0.07,1.06,1.05,291.84891,37.713501,15.065,-0.00697,0.0046,3.77,-3.47,5.12
82,K00794.01,CONFIRMED,2.539183147,2.4282,382.1,1.46261,2.06,88.28,1332,743.09,5519,4.35,0.14,1.062,0.921,291.43997,37.905659,15.026,3E-05,-0.00019,0.15,0.21,0.26
83,K00795.01,CONFIRMED,6.770300385,2.0844,1304,1.45164,2.77,86.84,812,102.87,5653,4.656,-0.84,0.679,0.767,290.87051,38.273628,15.591,0.0002,0.00057,0.09,0.065,0.11
84,K00796.01,FALSE POSITIVE,0.444291966,2.0792,10967,0.42351,27.51,39.97,1836,2706.26,5255,4.678,-0.72,0.636,0.709,290.99689,38.28492,15.748,-0.0478,0.2722,1.47,-7.217,7.365
85,K00797.01,CANDIDATE,10.181584004,3.5089,5741.1,0.38059,7.73,85.87,812,102.91,5988,4.541,-0.52,0.836,0.885,291.28195,38.241669,15.657,0.0008,-0.0003,0.004,0.008,0.009
86,K00812.02,CONFIRMED,20.06036336,3.3203,1494.7,3.09445,1.96,89.21,361,4,3950,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954,-0.00124,-0.0001,0,-0.03,0.03
87,K00812.03,CONFIRMED,46.1842039,4.758,1394.7,3.99779,1.83,89.99,273,1.32,3950,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954,-0.00044,0.00144,-0.07,0.04,0.08
88,K00116.04,CONFIRMED,23.9800854,5.351,104,0.05654,1.31,85.45,649,41.94,5854,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,-7E-05,-0.000102,0.1,-0.62,0.64
89,K00812.04,CONFIRMED,7.82502168,2.186,520.8,2.54508,1.2,87.99,494,14.05,3950,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954,-0.00071,0.00031,0.31,-0.45,0.55
90,K00813.01,CONFIRMED,3.895936525,2.3111,8544.8,2.31292,7.34,87.56,1005,241.62,5557,4.592,-0.3,0.774,0.866,294.65524,39.308361,15.725,0.00211,-0.00111,-0.246,0.238,0.342
91,K00814.01,CONFIRMED,22.36646466,5.228,986.8,1.12517,2.32,89.26,536,19.45,5395,4.615,-0.34,0.734,0.821,294.71063,39.52174,15.583,0.00016,-0.00016,0.08,-0.09,0.12
92,K00801.01,CONFIRMED,1.625522174,2.38963,7969,1.28198,9.73,89.22,1579,1467.41,5539,4.322,0.16,1.106,0.935,293.87192,38.422939,15.001,-0.00134,-0.00226,0.01,0.195,0.195
93,K00802.01,CANDIDATE,19.620346923,2.0038,21725,23.21659,13.6,89.66,643,40.39,5710,4.492,-0.1,0.905,0.928,293.81619,38.563568,15.562,-0.0108,-0.0133,0.656,0.634,0.913
94,K00803.01,FALSE POSITIVE,7.544039,6.222,322.6,0.00393,17.47,58.94,838,116.46,5657,4.567,-0.18,0.824,0.919,293.94116,38.601101,15.559,,-0.00203,,,
95,K00804.01,CANDIDATE,9.02930689,3.1449,1019.8,2.66613,2.57,89.94,757,77.75,5349,4.526,-0.12,0.82,0.824,290.33362,38.72823,15.387,-0.00038,-6E-05,0.23,0.18,0.29
96,K00805.01,FALSE POSITIVE,10.328035714,7.7915,16918,0.23528,13.28,88.54,843,119.31,5627,4.359,-0.1,1.024,0.874,287.69675,38.886452,15.646,0.001,0.0008,-0.072,-0.022,0.075
97,K00806.01,CONFIRMED,143.2063047,8.9302,10566,1.83449,8.9,89.83,308,2.14,5485,4.556,0.21,0.867,0.986,285.28363,38.947281,15.403,-0.0003,0.0009,-0.031,-0.042,0.052
98,K00116.03,CONFIRMED,6.164876,3.262,55.8,0.69664,0.79,86.69,1021,256.35,5854,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,1.2E-05,3E-05,-0.8,-0.22,0.8
99,K00806.02,CONFIRMED,60.32494216,6.6188,20280,2.37656,12.19,89.83,411,6.77,5485,4.556,0.21,0.867,0.986,285.28363,38.947281,15.403,0.0011,0,-0.01,0.012,0.016
100,K00806.03,CONFIRMED,29.1598615,4.803,488,1.92739,1.91,89.38,524,17.85,5485,4.556,0.21,0.867,0.986,285.28363,38.947281,15.403,,,,,
101,K00807.01,FALSE POSITIVE,1.540397253,2.1541,816.1,0.06102,25.69,51.56,1470,1105.68,5663,4.53,0.21,0.915,1.034,286.92639,38.921631,15.974,0.00168,0.00205,-6.5,0.31,6.5
102,K00808.01,FALSE POSITIVE,2.99025443,5.414,589.2,0.17407,1.7,89.81,918,168.45,4667,4.578,0.1,0.731,0.737,287.74881,38.92955,15.842,-0.07562,0.0026,9.915,-0.051,9.915
103,K00809.01,CONFIRMED,1.594745374,1.9604,15044,1.77544,11.3,85.25,1539,1329.42,5934,4.491,-0.38,0.893,0.901,285.21381,39.027481,15.53,-0.0009,0.0006,0.009,-0.004,0.01
104,K00810.01,CANDIDATE,4.783002698,2.335,1008.7,3.45234,2.5,89.99,886,145.48,5170,4.574,0.18,0.807,0.891,287.09399,39.060719,15.119,-0.00022,2E-05,0.034,0.001,0.034
105,K00811.01,CONFIRMED,20.50588921,4.0595,2105.5,2.64998,3.41,89.62,518,17.06,4905,4.544,-0.04,0.761,0.739,289.31543,39.153278,15.398,0.00013,0.0001,-0.046,0.01,0.047
106,K00812.01,CONFIRMED,3.340218842,1.9104,1632.6,3.23586,2.03,87.85,656,43.73,3950,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954,0.00053,-0.00013,0.026,0.05,0.06
107,K00828.01,FALSE POSITIVE,2.507089906,2.0067,1339.2,0.11003,30.26,67.79,1326,730.47,5926,4.506,-0.04,0.939,1.03,295.37805,40.493401,15.555,-0.002,-0.005,1.489,2.917,3.275
108,K00829.01,CONFIRMED,18.64932728,4.4056,893.6,1.97596,3.12,89.86,701,57.13,5775,4.405,0.16,1.053,1.026,290.46176,40.562462,15.386,-0.00068,0.00041,0.42,-0.37,0.56
109,K00117.02,CONFIRMED,4.90144976,4.1654,140.7,0.3709,1.7,86.1,1262,598.74,5847,4.191,0.26,1.402,1.113,297.02826,48.208611,12.487,-5.6E-05,-1.2E-05,-0.57,-0.15,0.59
110,K00829.02,CONFIRMED,9.75192101,4.793,418,0.044,2.76,80.97,870,135.66,5775,4.405,0.16,1.053,1.026,290.46176,40.562462,15.386,-0.00013,6E-05,0.16,0.03,0.16
111,K00829.03,CONFIRMED,38.5576546,5.794,993,0.19756,4.02,87.91,550,21.71,5775,4.405,0.16,1.053,1.026,290.46176,40.562462,15.386,-0.00101,0.0007,0.47,-0.04,0.47
112,K00830.01,CONFIRMED,3.525632539,2.59959,22335,2.43681,11.58,89.41,975,213.12,5150,4.572,0.08,0.793,0.855,290.58173,40.5774,15.224,-0.00196,0.006,-0.01,-0.052,0.053
